name,f1,precision,recall
1_2020_NUE_1_2020-08-05_range_5_click_1.csv,0.5436893203883496,0.5714285714285714,0.5185185185185185
1_2020_NUE_1_2020-07-06_range_6_click_1.csv,0.74,0.8043478260869565,0.6851851851851852
1_2019_NUE_2_2019-07-17_range_4.csv,0.8117154811715481,0.8738738738738738,0.7578125
1_2020_NUE_2_2020-07-06_range_3.csv,0.7818181818181819,0.8958333333333334,0.6935483870967742
1_2019_NUE_2_2019-07-10_range_2.csv,0.823529411764706,0.8909090909090909,0.765625
1_2020_NUE_2_2020-06-29_range_2.csv,0.7636363636363636,0.875,0.6774193548387096
1_2019_NUE_1_2019-06-27_range_1.csv,0.5648148148148148,0.5648148148148148,0.5648148148148148
1_2019_NUE_2_2019-08-07_range_5.csv,0.7478260869565218,0.8431372549019608,0.671875
1_2020_NUE_1_2020-06-22_range_8_click_1.csv,0.6111111111111112,0.6111111111111112,0.6111111111111112
1_2020_NUE_2_2020-06-22_range_1.csv,0.5245901639344263,0.5333333333333333,0.5161290322580645
1_2020_NUE_2_2020-08-05_range_4.csv,0.689655172413793,0.7407407407407407,0.6451612903225806
1_2019_NUE_2_2019-06-27_range_6.csv,0.5517241379310345,0.5413533834586466,0.5625
1_2019_NUE_1_2019-07-10_range_8.csv,0.7373737373737375,0.8111111111111111,0.6759259259259259
1_2020_NUE_1_2020-06-29_range_7_click_1.csv,0.5510204081632653,0.6136363636363636,0.5
1_2019_NUE_1_2019-07-17_range_3.csv,0.7864077669902914,0.826530612244898,0.75
1_2019_NUE_1_2019-08-07_range_7.csv,0.6256410256410256,0.7011494252873564,0.5648148148148148
